player,color,day,red,orange,yellow,green,blue,purple
TheBaker,#ff007f,4,no,yes,yes,yes,yes,yes
TheMaker,#fff200,4,yes,no,no,yes,yes,yes
TheGamer,#2ecc71,4,no,yes,no,yes,no,no
TheGamer,#2ecc71,5,yes,yes,yes,yes,no,yes
TheMaker,#fff200,5,yes,no,no,yes,no,no
TheBaker,#ff007f,5,yes,yes,yes,yes,yes,yes
TheGamer,#2ecc71,6,yes,yes,yes,yes,yes,yes
TheBaker,#ff007f,6,yes,yes,yes,yes,yes,yes
TheMaker,#fff200,6,yes,no,yes,yes,no,no
TheGamer,#2ecc71,7,yes,no,yes,yes,yes,no
TheBaker,#ff007f,7,yes,yes,yes,yes,yes,yes
TheMaker,#fff200,7,yes,yes,no,no,yes,yes
TheBaker,#ff007f,8,yes,yes,no,yes,yes,yes
TheMaker,#fff200,8,yes,no,no,yes,no,yes
TheGamer,#2ecc71,8,yes,yes,yes,yes,yes,no
TheGamer,#2ecc71,9,yes,yes,yes,yes,no,no
TheMaker,#fff200,9,yes,yes,yes,yes,yes,yes
TheBaker,#ff007f,9,no,no,yes,yes,yes,yes
TheBaker,#ff007f,10,yes,yes,no,no,yes,yes
TheGamer,#2ecc71,10,no,no,yes,yes,no,no
